Prokeep English / French Translations ,,,,,,
Purpose: Record the French translation of Prokeep ,,,,,,
,,,,,,
App Section,Sub Section,English,French,Spanish,Internal Notes,ID
,,Click here to go to that contact,Cliquez ici pour aller dans ce contact,"Haga clic aquí para ir al contacto
",,slideouts-CreateCustomerForm-clickHere
,,Email,Courriel,Correo Electrónico,,slideouts-CreateCustomerForm-email
,,Account Rep,Représentant du compte,Representante de cuenta,,slideouts-CreateCustomerForm-accountRep
,,Prioty Notification,Notification de priorité,Notificaciones de prioridad,,slideouts-CreateCustomerForm-priority
,,Show new messages to account rep first,Afficher d'abord le message au représentant de compte,Mostrar primero nuevos mensajes al representante de cuenta,,slideouts-CreateCustomerForm-showNewMessages
,,Company,Entreprise,Empresa,,slideouts-CreateCustomerForm-company
,,Search companies,Recherche d'entreprises,Búsqueda de empresas,,slideouts-CreateCustomerForm-searchCompanies
,,Company Phone,Téléphone de l'entreprise,Teléfono Empresa,,slideouts-CreateCustomerForm-companyPhone
,,Company Email,Courriel de l'entreprise,Correo electrónico Empresa,,slideouts-CreateCustomerForm-companyEmail
,,Account Number,Numéro de compte,Número de cuenta,,slideouts-CreateCustomerForm-accountNumber
,,Group,Groupe,Grupo,,slideouts-CreateCustomerForm-group
,,Send a welcome message,Envoyer un message de bienvenue,Enviar un mensaje de bienvenida,,slideouts-CreateCustomerForm-welcomeMessage
,,Submit,Soumettre,Enviar,,slideouts-CreateCustomerForm-submit
,,Invalid phone number format.,Format de numéro de téléphone invalide,"Formato inválido para el numero de telefonico.
",,slideouts-CreateCustomerForm-invalidPhone
,,Invalid email format.,Adresse courriel invalide,"Formato correo electrónico inválido.
",,slideouts-CreateCustomerForm-invalidEmail
,,There was an error.,Il y a une erreur,Ha habido un error,,slideouts-CreateCustomerForm-genericError
,,Required,Requis,Requerido,,slideouts-CreateCustomerForm-required
,,This number already exists in your contacts.,Ce numéro existe déjà dans vos contacts,Este número ya existe en sus contactos.,,slideouts-CreateCustomerForm-numAlreadyExists
,,,,,,
Threads,New Message,New Message,Nouveau Message,Nuevo mensaje,,slideouts-CreateThread-newMessage
,,To,À,A,,slideouts-CreateThread-toLabel
,,From,De,Desde,,slideouts-CreateThread-fromLabel
,,Enter Name or Number,Entrer nom ou numéro.,Introduzca nombre o número,,slideouts-CreateThread-enterNameOrNumber
,,File Name,Nom du fichier,Nombre del archivo,,slideouts-CreateThread-messageLabel
,,Message,Message,Mensaje,,slideouts-CreateThread-message
,,Press Shift + Enter to Submit,Presser sur Maj + Entrée pour soumettre,"Presione Shift + Enter para Enviar
",,slideouts-CreateThread-pressShift
,,Unsupported File Type,Type de fichier non supporté,Tipo de archivo no soportado,,slideouts-CreateThread-unsupportedFile
,,"File too large, max size 5 MB","Fichier trop large, taille maximum 5MB","El archivo es demasiado grande, el tamaño máximo permitido es de 5 MB
",,slideouts-CreateThread-fileTooLarge
,,"Can't send message, contact has no phone number","Impossible d'envoyer le message, le contact n'a pas de numéro de téléphone","No se puede enviar el mensaje, el contacto no tiene número de teléfono asignado
",,slideouts-CreateThread-cantSendMessage
,,Send,Envoyer,Enviar,,slideouts-CreateThread-send
,,Insert an Emoji,Insérer un émoji,Insertar un Emoji,,slideouts-CreateThread-insertEmoji
,,Save and Continue,Enregistrer et continuer,Guardar y continuar,,slideouts-CreateThread-saveAndCont
,,Image Annotations,Annotations d'image,Anotaciones de imagen,,slideouts-CreateThread-imageAnnotations
,,,,,,
Threads,Transfer Thread,Transfer Thread,Transférer la conversation,Transferir hilo,,slideouts-TransferThread-transferThread
,,Thread Transfer Successful,La conversation a été transféré avec succès,"Transferencia de hilo con éxito
",,slideouts-TransferThread-transferThreadSuccess
,,An error occured while transferring this thread.,Une erreur s'est produite lors du transfert de cette conversation.,"Se ha producido un error durante la transferencia de este hilo.
",,slideouts-TransferThread-error
,,To,À,A,,slideouts-TransferThread-toLabel
,,Internal Message,Message interne,Mensaje interno,,slideouts-TransferThread-internalMessage
,,The user you're attempting to transfer to is currently unavailable.,L'utilisateur à qui vous essayer de transférer n'est pas disponible,"El usuario al que está intentando transferir no está disponible actualmente.
",,slideouts-TransferThread-currentlyUnavailable
,,Transfer Anyway,Transférer tout de même,Transferir de todos modos,,slideouts-TransferThread-transferAnyway
,,Send,Envoyer,Enviar,,slideouts-TransferThread-send
,,,,,,
Customers,All,Contacts,Contacts,contactos,,customers-CustomerList-contacts
,,All,Tout,Todos,,customers-CustomerList-all
,,Recent,Récent,Reciente,,customers-CustomerList-recent
,,Search,Rechercher,Buscar,,customers-FilterCustomers-search
,,It's awfully lonely in here.,C'est terriblement solitaire ici,Esta muy desierto por aquí.,,customers-NoRowsElement-lonely
,,Are you ready to start <addButton>adding contacts</addButton>?,Êtes-vous prêt à commencer?  <addButton> ajouter contacts  </addButoon>?,"¿Estás listo para empezar a <botón> agregar contactos </ boton >?
",,customers-NoRowsElement-areYouReady
,,No results found,Aucun résultats trouvés,No se han encontrado resultados,,customers-InfiniteScroll-noResultsFound
,,,,,,
,All>{ID},Closed at {time} by {person},Fermé à {time} par {person},Cerrado a las {time} por {person},,customers-CloseEvents-closedAt
,,,,,,
Search,,Search,Rechercher,Buscar,,search-Search-search
,,"Search threads, customers, companies","Recherche une conversation, clients, entreprises","Buscar Hilos, clientes, empresas
",,search-Search-searchOptions
,,No results!,Aucun résultats!,¡No hay resultados!,,search-Search-noResults
,,Search Suggestions:,Suggestions de recherche:,Sugerencias de búsqueda:,,search-Search-searchSuggestions
,,Check your spelling.,Vérifier l'orthographe ,Corrige tu ortografía.,,search-Search-checkSpelling
,,Try more general words.,Essayer des mots plus généraux,Intente con palabras más generales,,search-Search-tryGeneralWords
,,Try different words that mean the same thing.,Essayer des mots différents qui sont synonymes,"Intente con diferentes palabras que se refieran a lo mismo.
",,search-Search-tryDifferentWords
,,Ensure the filter is set to the type of data you want to search.,Assurez-vous que le filtre est défini sur le type de données que vous voulez rechercher,"Asegúrese de que el filtro seleccionado se corresponda con el tipo de datos que desea buscar.
",,search-Search-ensureFilterSet
,,Filter,Filtre,Filtrar,,search-Search-filter
,,All,Tout,Todos,,search-Search-all
,,Threads,Conversations,Hilos,,search-Search-threads
,,Customers,Contacts,Clientes,,search-Search-customers
,,View All,Voir tout,Ver todo,,search-LabelBar-viewAll
,,Load More,Télécharger plus,"Cargar más
",,search-Search-loadMore
,,Please begin a new search after editing input,Veuillez commencer une nouvelle recherche après avoir modifié l'entrée,"Por favor, iniciar una nueva búsqueda después de editar la entrada
",,search-Search-newSearch
,,,,,,
Announcements,,No announcements sent yet,Aucune annonce n'a encore été envoyée,No se han enviado anuncios,,announcements-AnnoucementList-noAnnouncements
,,Search,Recherche,Buscar,,announcements-SearchAnnouncement-search
,,Click the button below to create your first announcement,Cliquer sur le boutton ci-dessous pour créer votre première annonce,Haga clic en el botón de abajo para crear su primer anuncio,,announcements-AnnoucementList-clickButtonBelow
,,Create an Announcement,Créer l'annonce,Crear un anuncio,,announcements-AnnoucementList-createAnnouncement
,,An error occurred.,Une erreur s'est produite ,Ocurrió un error.,,slideouts-GroupMessageName-genericError
,,Create A New Group Announcement,Créer un groupe d'annonce,Crear un nuevo grupo de anuncio,,slideouts-GroupMessageName-createGroupAnnouncement
,,Setup,Configuration ,Configurar,,slideouts-GroupMessageName-setup
,,Message name,Nom du message,nombre del mensaje,,slideouts-GroupMessageName-messageName
,,Something to help you identify the message,Quelque chose pour vous aider à identifier le message,"Algo que le ayude a identificar el mensaje
",,slideouts-GroupMessageName-placeholderMessage
,,Save and continue,Enregistrer et continuer,Guardar y continuar,,slideouts-GroupMessageName-saveContinue
,,Recipients,Destinataires,destinatarios,,slideouts-GroupMessageOverview-recipients
,,Who do you want to send this message to?,À qui voulez-vous envoyer ce message?,"¿A quién quiere enviar este mensaje?
",,slideouts-GroupMessageOverview-whoSendMessage
,,Save & Exit,Enregistrer et sortir,Guardar y salir,,slideouts-GroupMessageRecipients-saveExit
,,Exit Review,Sortir de la révision,Salir de revisar,,slideouts-GroupMessageRecipients-exitReview
,,Message,Message,Mensaje,,slideouts-GroupMessageOverview-message
,,What do you want to say?,Que voulez-vous dire?,¿Qué quieres decir?,,slideouts-GroupMessageOverview-whatToSay
,,AUDIENCE SIZE,Taille de l'auditoire,tamaño de la audiencia,,slideouts-GroupMessageRecipients-audienceSize
,,Recipients,Destinataires,destinatarios,,slideouts-GroupMessageRecipients-recipients
,,Who do you want to message?,Qui voulez-vous écrire?,¿A quién deseas enviar un mensaje?,,slideouts-GroupMessageRecipients-whoToMessage
,,clear all,Effacer tout,limpiar todo,,slideouts-GroupMessageRecipients-clearAll
,,Recipient Name,Nom du destinataire,Nombre del destinatario,,slideouts-GroupMessageRecipients-recipientName
,,Customers,Clients,Clientes,,slideouts-GroupMessageRecipients-customersLabel
,,Announcement Lists,Listes d'annonce,Listas de anuncios,,slideouts-GroupMessageRecipients-announcementListsLabel
,,{name} is already in your recipients list.,{name} est déjà dans votre liste de destinataire.,{name} ya está en la lista de destinatarios.,,slideouts-GroupMessageRecipients-alreadyRecipient
,,{number} member,{number} du membre,"{number} miembro
",,slideouts-GroupMessageRecipients-member
,,{number} members,{number} du membre,{number} miembros,,slideouts-GroupMessageRecipients-members
,,Save & Continue,Enregistrer et continuer,Guardar y continuar,,slideouts-GroupMessageRecipients-saveContinue
,,EDIT,Modifier,Editar,,slideouts-GroupMessageOverview-edit
,,recipient,Destinataire,destinatario,,slideouts-GroupMessageOverview-recipient
,,I have permission to text each contact above,J'ai la permission d'envoyer un message text aua contact ci-dessus,"Estoy autorizado para enviar mensajes a cada uno de los contactos
",,slideouts-GroupMessageOverview-permission
,,Message Text,Message texte,Mensaje de texto,,slideouts-GroupMessageOverview-messageText
,,Send Now,Envoyer maintenant,Enviar ahora,,slideouts-GroupMessageOverview-sendNow
,,Back,Retour,atrás,,slideouts-GroupMessageOverview-back
,,Sending,Envoyer,Enviando,,announcements-AnnouncementList-sending
,,VIEW DETAIL,Voir détail,VER DETALLE,,slideouts-GroupMessageOverview-viewDetail
,,Duplicate,Dupliquer,Duplicar,,announcements-AnnouncementList-duplicate
,,Previous,Précédent,Anterior,,announcements-AnnouncementList-previous
,,Next,Suivant,Siguiente,,announcements-AnnouncementList-next
,,Announcement Name,Nom de l'annonce,Nombre del anuncio,,announcements-AnnouncementList-announcementName
,,Sent,Envoyé,Enviar,,announcements-AnnouncementList-sent
,,You have reached the maximum number of characters allowed per message.,Vous avez atteint la limite du nombre de caractères par message,"Ha alcanzado el número máximo de caracteres permitidos por mensaje.
",,slideouts-GroupMessageContent-maxNumberOfChars
,,Successfully deleted announcement,L'annonce a  été supprimée avec succès,"El anuncio ha sido eliminado correctamente
",,announcements-AnnouncementList-success
,,There was an error deleting the announcement,Il y a eu une erreur lors de la suppression de l'annonce,Ha habido un error al eliminar el anuncio,,announcements-AnnouncementList-error
,,Announcement channel updated successfully,Canal d'annonce mis à jour avec succès,"El canal del anuncio ha sido actualizado correctamente
",,announcements-Announcements-success
,,There was an error.,Il y aune erreur,Ha habido un error,,announcements-Announcements-error
,,failure saving announcement.,Échec pour l'enregistrement de l'annonce,Ha habido un error al guardar el anuncio,,slideouts-GroupMessageContent-error
,,failure saving announcement.,Échec pour l'enregistrement de l'annonce,Ha habido un error al guardar el anuncio,,slideouts-GroupMessageRecipients-error
,,Save and Continue,Enregistrer et continuer,Guardar y continuar,,slideouts-GroupMessageContent-saveContinue
,,Message,Message,Mensaje,,slideouts-GroupMessageContent-message
,,What do you want your message to say?,Que voulez-vous dire dans votre message?,"¿Cual desea que sea el contenido del mensaje?
",,slideouts-GroupMessageContent-whatMessageSay
,,Message Sent,Message envoyé,Mensaje enviado,,slideouts-GroupMessageContent-messageSent
,,,,,,
Reports,,Download Excel,Télécharger le fichier excel,Descargar Excel,,reports-Reports-downloadExcel
,,Threads Created,conversations créées,Hilos creados,,reports-Reports-threadsCreated
,,Last 30 days,30 derniers jours,Últimos 30 días,,reports-Reports-lastThirtyDays
,,{number} By Customer,{number} par client,{number} por Cliente,,reports-Card-byCustomer
,,{number} By Group, {number} par groupe,"{number} por Grupo
",,reports-Card-byGroup
,,{fromDay} - {toDay} days,{fromDay} - {toDay} jours,"días
",,reports-Card-days
,,Time to claim,Temps pour réclamer,Tiempo de respuesta,,reports-Reports-timeToClaim
,,30 day average,En moyenne 30 jours,30 días promedio,,reports-Reports-dayAverage
,,minutes,minutes,minutos,,reports-Reports-minutes
,,seconds,secondes,"segundos
",,reports-Reports-seconds
,,Group,Groupe,Grupo,,reports-ReportsTable-group
,,threads received*,conversations reçues,hilos recibidos *,,reports-ReportsTable-threadsReceived
,,threads sent*,conversations envoyées,"hilos enviados *
",,reports-ReportsTable-threadsSent
,,time to claim*,Temps pour réclamer,"tiempo de respuesta
",,reports-ReportsTable-timeToClaim
,,* Last 30 Days,* 30 derniers jours,* Últimos 30 Días,,reports-TableData-lastThirtyDays
,,Your thread history report is being prepared and will be emailed to you shortly.,Votre historique de conversations est en cours de préparation et vous sera envoyé par courriel dans quelques instants,"Su informe del historial del hilo está siendo preparado y será enviado por correo electrónico a la brevedad.
",,reports-ReportsContainer-threadHistoryPrepared
,,No activity to report yet,Aucune activité à reporter,No hay actividad para informar por el momento.,,reports-Reports-noActivity
,,"Don't worry, everything is as it should be. Reports are generated nightly.","Ne vous inquiétez pas, tout est comme il devrait être. Les rapports sont générés la nuit.","No se preocupe, todo está como debe estar. Los informes se generan todas las noches.
",,reports-Reports-dontWorry
,,Your first report will be available tomorrow.,Votre premier rapport sera  disponible demain,Su primer informe estará disponible mañana.,,reports-Reports-firstReport
,,Start a Thread,Commencer une conversation,Iniciar un hilo,,reports-Reports-startThread
,,,,,,
Sign in,/login,email address,Adresse courriel,dirección de correo electrónico,,signin-SignIn-emailAddress
,,password,mot de passe,contraseña,,signin-SignIn-password
,,Forgot Password?,Mot de passe oublié?,"¿Olvidaste tu contraseña?
",,signin-SignIn-forgotPassword
,,The information you provided does not match our records,Cette information ne correspond pas à nos dossiers,"La información proporcionada no coincide con nuestros registros
",,signin-SignIn-noMatchRecords
,,Login failed,Échec la connexion,Error al iniciar sesión,,signin-SignIn-loginFailed
,,Sign In,Se connecter ,registrarse,,signin-SignIn-signIn
,,,,,,
Sign in,/forgot,Password Recovery,Récupération de mot de passe,Recuperar contraseña,,signin-ForgotPassword-passwordRecovery
,,Enter the email address that is associated with your Prokeep account.,Entrer l'adresse courriel associée à votre compte Prokeep.,"Introduzca la dirección de correo electrónico asociada a su cuenta Prokeep.
",,signin-ForgotPassword-enterEmail
,,Back to Sign In,Retour à la connexion ,Volver a iniciar sesión,,signin-ForgotPassword-back
,,Help is on the way,De l'aide arrive,"La ayuda va en camino
",,signin-ForgotPasswordConfirmation-helpOnTheWay
,,Head over to your email inbox and follow the link we've sent in a message. We'll get you back to serving customers in no time.,rendez-vous dans votre boîte de réception et suivez le lien que nous avons envoyé dans le message. Nous vous remettrons au service de vos clients en peu de temps,Diríjase a la bandeja de entrada de su correo electrónico. Siga el enlace adjunto en el mensaje. Volverá a atender a sus clientes en cuestion de segundos.,,signin-ForgotPasswordConfirmation-headToEmail
,,Didn't get the email? Please contact support.,Vous n'avez pas reçu de courriel? Veuillez contacter le support.,"No recibió el correo? Por favor, contacte al soporte.
",,signin-ForgotPasswordConfirmation-contactSupport
,,Phone,Téléphone,Teléfono,,signin-ForgotPasswordConfirmation-phone
,,Email,Courriel,Correo Electrónico,,signin-ForgotPasswordConfirmation-email
,,Need Help?,Besoin d'aide?,¿Necesitas ayuda?,,signin-ForgotPasswordConfirmation-needHelp
,,Click here.,Cliquer ici.,Haga clic aquí.,,signin-ForgotPasswordConfirmation-clickHere
,,Could not send password reset email.,Impossible d'envoyer le courriel de réinitialisation du mot de passe.,"No ha sido posible enviar el correo para restablecer su contraseña.
",,signin-ForgotPasswordConfirmation-cannotSendPassword
,,User not found,Utilisateurs pas trouvés,Usuario no encontrado,,signin-ForgotPasswordConfirmation-userNotFound
,,Back to Sign In,Retour à la connexion ,Volver a iniciar sesión,,signin-ForgotPasswordConfirmation-back
,,Submit,Soumettre,enviar,,signin-ForgotPassword-submit
,,email address,Adresse courriel,dirección de correo electrónico,,signin-ForgotPassword-emailAddress
,,Copy to Clipboard,Copier dans le presse-papier,copiar al portapapeles,,signin-ForgotPasswordConfirmation-copyToClipboard
,,Copied!,copié!,copiado!,,signin-ForgotPasswordConfirmation-copied
,,,,,,
Sign In,/join/{id},Welcome Aboard,Bienvenue à bord,Bienvenido a bordo,,signin-JoinTeam-welcomeAboard
,,Fill in the information below and we will have you sending messages in no time,remplissez les informations et vous pourrez envoyer un message dans peu de temps,"Complete la siguiente información y comenzara enviar mensajes en cuestión de segundos
",,signin-JoinTeam-fillInfoBelow
,,Error occured,Une erreur s'est produite,Ocurrió un error,,signin-JoinTeam-error
,,Could not join team.,Impossible de rejoindre l'équipe ,"No ha sido posible unirse al equipo.
",,signin-JoinTeam-couldNotJoin
,,First Name,Prénom,Nombre,,signin-JoinTeam-firstName
,,Last Name,Nom,Apellido,,signin-JoinTeam-lastName
,,password,Mot de passe,contraseña,,signin-JoinTeam-password
,,Save,Enregistrer,Guardar,,signin-JoinTeam-save
,,This invite has already been accepted,Cette invitation a déjà été envoyée,"Esta invitación ya ha sido aceptada
",,signin-JoinTeam-inviteAlreadyAccepted
,,Sign In,S'inscrire,Registrarse,,signin-JoinTeam-signIn
,,,,,,
Sign In,/reset/{id},Create your password,Créer votre mot de passe,Crear contraseña,,signin-ResetPassword-createPassword
,,Reset password,Réinitialiser le mot de passe,"Restablecer contraseña
",,signin-ResetPassword-resetPassword
,,Error occured,Une erreur s'est produite,Ocurrió un error,,signin-ResetPassword-error
,,password,Mot de passe,contraseña,,signin-ResetPassword-password
,,,,,,
settings,bubbleConfirmation,Cancel,Annuler,Cancelar,,settings-BubbleConfirmation-cancel
,,,,,,
settings,,n/a,n/a,No disponible,,settings-NA-na
,,There was an error,Il y a une erreur,Ha habido un error,,settings-LanguageSettings-error
,,Successfully updated language preferences,Préférences de langues mis à jour avec succès,Preferencias de idioma actualizadas correctamente,,settings-LanguageSettings-success
,,English,Anglais,Inglés,,settings-LanguageSettings-english
,,French,Francais,francés,,settings-LanguageSettings-french
,,Spanish,Espagnol,Español,,settings-LanguageSettings-spanish
,,Language,Langue,Idioma,,settings-LanguageSettings-language
,,Save,Enregistrer,Guardar,,settings-LanguageSettings-save
,,Languages,Langues,Idiomas,,settings-LanguageSettings-languages
,,Set Language,Sélectionner la langue,Seleccionar Idioma,,settings-LanguageSettings-setLanguage
,,,,,,
,system stuff,Prokeep is trying to reconnect.,Prokeep essaie de se reconnecter,,,signin-createApolloClient-tryingToConnect
,,Connection re-established.,Connexion rétablie,,,signin-createApolloClient-connectionReestablished
,,,,,,
,,Prokeep has encountered an error.,Prokeep a rencontré une erreur ,,,signin-GlobalErrorBoundary-error
,,"Try refreshing the page. If the problem persists, please contact us.","Essayez de rafraîchir la page. Si le problème persiste, veuillez nous contacter.",,,signin-GlobalErrorBoundary-refresh
,,Phone,Téléphone,,,signin-GlobalErrorBoundary-phone
,,Support Email,Courriel support,,,signin-GlobalErrorBoundary-support
,,Help Center,Centre d'aide,,,signin-GlobalErrorBoundary-helpCenter
,,Prokeep Knowledge Base,Base de connaissance Prokeep,,,signin-GlobalErrorBoundary-knowledgeBase
,,,,,,
,,You've reached a page that does not exist.,Vous avez atteint une page qui n'existe pas ,,,signin-NotFound-noPage
,,"If you were trying to access ProKeep, try retyping the URL.","Si vous essayer d'accèder Prokeep, essayer de retaper le URL",,,signin-NotFound-retypeUrl
,,"As a reminder, your ProKeep login can be found by typing:","Pour rappel, votre connexion Prokeep peut être trouvé en tapant:",,,signin-NotFound-reminder
,,your-company-name,votre-nom-entreprise,,,signin-NotFound-companyName
,,Example:,Exemple,,,signin-NotFound-example
,,Still need help?,Toujours besoin d'aide?,,,signin-NotFound-help
,,CALL:,Appeler:,,,signin-NotFound-call
,,Email:,Courriel:,,,signin-NotFound-email
,,,,,,
modals,,Getting Started,Démarrer,,,modals-VideoPlayer-gettingStarted
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Missed Phrases:,Group Announcements,Annonce s du groupe,,,announcements-Annoucements-group
,,Edit,Modifier,,,announcements-AnnoucementList-edit
,,Draft,Brouillon,Borrador,,announcements-AnnoucementList-draft
,,Delete,Supprimer,,,announcements-AnnoucementList-delete
,,Are you sure you want to delete this announcement?,Êtes-vous sûre que vous voulez supprimer cette annonce,,,announcements-AnnoucementList-areYouSure
,,View Detail,Voir détail,,,announcements-AnnouncementList-viewDetail
,,Recipients,Destinataires,,,announcements-AnnouncementList-recipients
,,Success! Record deleted.,Succès! enregistrements supprimés.,,,modals-AddOrEditHolidayHours-successDeleted
,,Cancel,Annuler,,,modals-UnblockNumber-cancel
,,Uploading,Téléchargement,,,modals-Uploader-uploading
,,Photo Attachment:,Photo joint,,,modals-PhotoModal-submit
,,Draw Arrow,Tracer une flèche,,,modals-Annotations-arrow
,,Draw Rectangle,Dessiner un rectangle,,,modals-Annotations-rectangle
,,Draw Line,Tracer une ligne,,,modals-Annotations-line
,,Draw Ellipsis,Dessiner des points de suspension ,,,modals-Annotations-ellipsis
,,Add Text,Ajouter texte,,,modals-Annotations-text
,,Undo,Annuler,,,modals-Annotations-undo
,,Show Colors,Afficher les couleurs,,,modals-Annotations-showColors
,,Customer,clients,,,reports-Card-customer
,,Group,groupe,,,reports-Card-group
,,User,utilisateur,,,reports-Card-user
,,Name,nom,,,reports-ReportsTable-name
,,Company,entreprise,,,reports-ReportsTable-company
,,last thread closed,dernier conversation fermée,,,reports-ReportsTable-lastThreadClosed
,,There was an error,il y a une erreur,,,reports-ReportsContainer-downloadExcel-error
,,New members added succesfully.,Nouveaux membres ajoutés avec succès,,,settings-GroupMembers-newMembersAdded
,,Email address is required.,Adresse courriel requis,,,signin-SignIn-emailAddressValidation
,,Invalid email address.,Adresse courriel invalide,,,signin-SignIn-emailAddressInvalid
,,Invalid password.,Mot de passe invalide,,,signin-SignIn-password-invalid
,,Success,Succès,,,signin-ForgotPasswordConfirmation-success
,,First Name is required.,Prénom requis,,,signin-JoinTeam-firstName-error
,,Last Name is required.,Nom requis,,,signin-JoinTeam-lastName-error
,,Required,Requis,,,signin-PasswordFormContainer-required
,,Need at least {minLength} characters.,A beosoin au moins de {minLength} caractères,,,signin-PasswordFormContainer-minLength
,,Need at least 1 number.,A besoin au moins d'un chiffre,,,signin-PasswordFormContainer-need1Number
,,Need at lowercase and uppercase.,A besoin au moins de minuscusle et majuscule,,,signin-PasswordFormContainer-needLowerAndUpper
,,Required,Requis,,,signin-JoinTeam-required
,,Need at least {minLength} characters.,A beosoin au moins de {minLength} caractères,,,signin-JoinTeam-minLength
,,Need at least 1 number.,A besoin au moins d'un chiffre,,,signin-JoinTeam-need1Number
,,Need at lowercase and uppercase.,A besoin au moins de minuscusle et majuscule,,,signin-JoinTeam-needLowerAndUpper
,,Required,Requis,,,signin-ResetPassword-required
,,Need at least {minLength} characters.,A beosoin au moins de {minLength} caractères,,,signin-ResetPassword-minLength
,,Need at least 1 number.,A besoin au moins d'un chiffre,,,signin-ResetPassword-need1Number
,,Need at lowercase and uppercase.,A besoin au moins de minuscusle et majuscule,,,signin-ResetPassword-needLowerAndUpper
,,Password Required.,Mot de passe requis,,,signin-SignIn-passwordRequired
,,Delete,Supprimer,,,slideouts-CustomerInfoOptions-deleteButton
,,Enter notes,Entrer notes,,,slideouts-CustomerEditInput-enterNotes
,,Error: {errorMsg},Erreur: {errorMsg} ,,,signin-ErrorMessagePage-errorColon
,,"Error, something went wrong.","Erreur,quelque chose s'est mal pasée",,,signin-ErrorMessagePage-errorSomethingWentWrong
,,Retrieve Diagnostic Sign In Information,Récupérer le diagnostic d'information de connexion,,,signin-Diagnostics-retrieveDiagnosticSignIn
,,Retrieve,Récupérer,,,signin-Diagnostics-retrieve
